Requirement ID,Section,Category,Entity,Product,State,Business Requirement,Data Element,Validation Rule,Eligibility Rule,Underwriting Rule,Coverage Association,Forms Association,Transaction Applicability,State Variance,Source Requirement,Traceability Reference,Status,Effective Date,Owner
INT-VIN-001,Integration Requirements,Integration Function,Vehicle,Personal Auto,All,VIN Decode integration shall provide vehicle identification information,VIN,VIN Decode Request Validation,VIN Decode Processing Eligibility,VIN Decode Service Authorization,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 20.2,VIN Decode Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-VIN-002,Integration Requirements,Integration Function,Vehicle,Personal Auto,All,VIN Decode response shall return vehicle characteristics,VIN,VIN Response Validation,VIN Decode Data Availability,VIN Decode Service Success,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 20.2,VIN Decode Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-MVR-001,Integration Requirements,Integration Function,Driver,Personal Auto,All,MVR integration shall provide driver-related information,DriverInformation; DriverLicense,MVR Request Validation,MVR Processing Eligibility,MVR Service Authorization,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 20.3,MVR Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-MVR-002,Integration Requirements,Integration Function,Driver,Personal Auto,All,MVR response shall return driver history information,DriverInformation; DriverLicense,MVR Response Validation,MVR Data Availability,MVR Service Success,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 20.3,MVR Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-ADDR-001,Integration Requirements,Integration Function,Insured,Personal Auto,All,Address Validation integration shall verify address information,ResidenceAddress; GaragingAddress; MailingAddress,Address Validation Request Validation,Address Validation Eligibility,Address Validation Service Authorization,,"Policy Jacket, Coverage Forms","Quote, New Business, Endorsement, Renewal",No,Section 20.4,Address Validation Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-ADDR-002,Integration Requirements,Integration Function,Insured,Personal Auto,All,Address Validation response shall return standardized address information,ResidenceAddress; GaragingAddress; MailingAddress,Address Validation Response Validation,Address Validation Data Availability,Address Validation Service Success,,"Policy Jacket, Coverage Forms","Quote, New Business, Endorsement, Renewal",No,Section 20.4,Address Validation Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-GEO-001,Integration Requirements,Integration Function,Vehicle,Personal Auto,All,Geocoding integration shall provide location-based information,GaragingAddress; ResidenceAddress,Geocoding Request Validation,Geocoding Processing Eligibility,Geocoding Service Authorization,,"Policy Jacket, Coverage Forms","Quote, New Business, Endorsement, Renewal",No,Section 20.5,Geocoding Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-GEO-002,Integration Requirements,Integration Function,Vehicle,Personal Auto,All,Geocoding response shall return geographic coordinates and territory information,GaragingAddress; ResidenceAddress,Geocoding Response Validation,Geocoding Data Availability,Geocoding Service Success,,"Policy Jacket, Coverage Forms","Quote, New Business, Endorsement, Renewal",No,Section 20.5,Geocoding Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-CUST-001,Integration Requirements,Integration Function,Insured,Personal Auto,All,Customer Search integration shall support customer identification,NamedInsured; ResidenceAddress,Customer Search Request Validation,Customer Search Eligibility,Customer Search Service Authorization,,"Policy Jacket, Policy Forms","Quote, New Business",No,Section 20.6,Customer Search Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-CUST-002,Integration Requirements,Integration Function,Insured,Personal Auto,All,Customer Search response shall return matching customer records,NamedInsured; ResidenceAddress,Customer Search Response Validation,Customer Data Availability,Customer Search Service Success,,"Policy Jacket, Policy Forms","Quote, New Business",No,Section 20.6,Customer Search Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-DOC-001,Integration Requirements,Integration Function,Policy,Personal Auto,All,Document Generation integration shall support policy document creation,FormSelection; PolicyInformation; CoverageInformation,Document Generation Request Validation,Document Generation Eligibility,Document Generation Service Authorization,,All Forms,"Quote, New Business, Bind, Issue, Endorsement, Renewal, Cancellation, Reinstatement",No,Section 20.7,Document Generation Integration Requirements,APPROVED,2026-08-19,Technology Owner
INT-DOC-002,Integration Requirements,Integration Function,Policy,Personal Auto,All,Document Generation response shall return generated documents,FormSelection; PolicyInformation; CoverageInformation,Document Generation Response Validation,Document Availability,Document Generation Service Success,,All Forms,"Quote, New Business, Bind, Issue, Endorsement, Renewal, Cancellation, Reinstatement",No,Section 20.7,Document Generation Integration Requirements,APPROVED,2026-08-19,Technology Owner
STATE-TX-001,State-Specific Requirements,Eligibility,Driver,Personal Auto,Texas,Texas driver eligibility requirements shall be documented separately from common product requirements,DriverInformation; LicenseState,Texas Driver Validation,Texas Driver Eligibility,Texas UW Standards,"Coverage Forms, Endorsements","Quote, New Business, Endorsement, Renewal",Yes - Texas Specific,Section 21.2.1,Texas Eligibility Requirements,DRAFT,2026-08-19,Regulatory Owner - Texas
STATE-CA-001,State-Specific Requirements,Eligibility,Driver,Personal Auto,California,California driver eligibility requirements shall be documented separately from common product requirements,DriverInformation; LicenseState,California Driver Validation,California Driver Eligibility,California UW Standards,"Coverage Forms, Endorsements","Quote, New Business, Endorsement, Renewal",Yes - California Specific,Section 21.3.1,California Eligibility Requirements,DRAFT,2026-08-19,Regulatory Owner - California
STATE-FL-001,State-Specific Requirements,Eligibility,Driver,Personal Auto,Florida,Florida driver eligibility requirements shall be documented separately from common product requirements,DriverInformation; LicenseState,Florida Driver Validation,Florida Driver Eligibility,Florida UW Standards,"Coverage Forms, Endorsements","Quote, New Business, Endorsement, Renewal",Yes - Florida Specific,Section 21.4.1,Florida Eligibility Requirements,DRAFT,2026-08-19,Regulatory Owner - Florida
STATE-NY-001,State-Specific Requirements,Eligibility,Driver,Personal Auto,New York,New York driver eligibility requirements shall be documented separately from common product requirements,DriverInformation; LicenseState,New York Driver Validation,New York Driver Eligibility,New York UW Standards,"Coverage Forms, Endorsements","Quote, New Business, Endorsement, Renewal",Yes - New York Specific,Section 21.5.1,New York Eligibility Requirements,DRAFT,2026-08-19,Regulatory Owner - New York
MVP-001,MVP Definition,MVP Requirement,Policy,Personal Auto,All,Quote transaction is included in MVP,QuoteTransaction,Transaction MVP Completeness,MVP Quote Eligibility,MVP Processing Validation,,Policy Jacket; Coverage Forms,Quote,No,Section 23.3,MVP Transactions,APPROVED,2026-08-19,Product Owner
MVP-002,MVP Definition,MVP Requirement,Policy,Personal Auto,All,New Business transaction is included in MVP,NewBusinessTransaction,Transaction MVP Completeness,MVP New Business Eligibility,MVP Processing Validation,,Policy Jacket; Coverage Forms; Endorsements,New Business,No,Section 23.3,MVP Transactions,APPROVED,2026-08-19,Product Owner
MVP-003,MVP Definition,MVP Requirement,Policy,Personal Auto,All,Bind transaction is included in MVP,BindTransaction,Transaction MVP Completeness,MVP Bind Eligibility,MVP Processing Validation,,Policy Jacket; Coverage Forms,Bind,No,Section 23.3,MVP Transactions,APPROVED,2026-08-19,Product Owner
MVP-004,MVP Definition,MVP Requirement,Policy,Personal Auto,All,Issue transaction is included in MVP,IssueTransaction,Transaction MVP Completeness,MVP Issue Eligibility,MVP Processing Validation,,Policy Jacket; Coverage Forms; Policy Notices,Issue,No,Section 23.3,MVP Transactions,APPROVED,2026-08-19,Product Owner
MVP-005,MVP Definition,MVP Requirement,Policy,Personal Auto,All,Endorsement transaction is included in MVP,EndorsementTransaction,Transaction MVP Completeness,MVP Endorsement Eligibility,MVP Processing Validation,,Coverage Forms; Endorsements,Endorsement,No,Section 23.3,MVP Transactions,APPROVED,2026-08-19,Product Owner
MVP-006,MVP Definition,MVP Requirement,Policy,Personal Auto,All,Renewal transaction is included in MVP,RenewalTransaction,Transaction MVP Completeness,MVP Renewal Eligibility,MVP Processing Validation,,Policy Jacket; Coverage Forms; Renewal Notices,Renewal,No,Section 23.3,MVP Transactions,APPROVED,2026-08-19,Product Owner
MVP-007,MVP Definition,MVP Requirement,Policy,Personal Auto,All,Cancellation transaction is included in MVP,CancellationTransaction,Transaction MVP Completeness,MVP Cancellation Eligibility,MVP Processing Validation,,Policy Jacket; Cancellation Notices,Cancellation,No,Section 23.3,MVP Transactions,APPROVED,2026-08-19,Product Owner
MVP-008,MVP Definition,MVP Requirement,Policy,Personal Auto,All,Reinstatement transaction is included in MVP,ReinstatementTransaction,Transaction MVP Completeness,MVP Reinstatement Eligibility,MVP Processing Validation,,Policy Jacket; Reinstatement Notices,Reinstatement,No,Section 23.3,MVP Transactions,APPROVED,2026-08-19,Product Owner
